employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-71510041,Ibrahima,Faye,Masculin,Saint-Louis,Saint-Louis,2024-05-13,Informatique,Développeur Logiciel,Licence,2470313,Satisfaisant,Oui,1986-03-12,2024-11-09
00-38609087,Coumba,Diallo,Masculin,Matam,Kanel,2017-08-23,Informatique,Administrateur Système,Licence,2888084,Bon,Non,1993-03-02,2018-02-19
00-42787299,Ousmane,Diallo,Masculin,Dakar,Dakar,2017-04-13,Service Clientèle,Spécialiste Support,Licence,1754632,Bon,Non,1999-05-14,2018-01-27
00-50603163,Ibrahima,Thiam,Féminin,Kaolack,Nioro du Rip,2015-11-10,Service Clientèle,Technicien Support,Baccalauréat,1872295,À améliorer,Non,1974-09-22,2016-05-08
00-99038526,Awa,Ndiaye,Féminin,Kaolack,Nioro du Rip,2017-01-17,Opérations,Analyste des Opérations,Master,2106907,Bon,Oui,1991-10-18,2021-12-10
00-84252420,Fatou,Diallo,Féminin,Saint-Louis,Saint-Louis,2017-10-11,Opérations,Spécialiste des Stocks,Licence,1870077,À améliorer,Oui,2003-12-09,2021-06-11
00-56020613,Cheikh,Diallo,Féminin,Tambacounda,Goudiry,2020-06-27,Ventes,Spécialiste des Ventes,Master,2417068,À améliorer,Oui,1979-06-30,2020-12-24
00-16818112,Awa,Gueye,Masculin,Kolda,Kolda,2023-07-28,Opérations,Spécialiste des Stocks,Baccalauréat,1738436,Bon,Non,1999-07-15,2024-01-24
00-54769200,Fatou,Diallo,Féminin,Dakar,Pikine,2017-02-18,Informatique,Spécialiste Support Informatique,Licence,2042120,Bon,Oui,1983-10-03,2018-12-31
00-67403166,Coumba,Diop,Masculin,Dakar,Guédiawaye,2016-12-24,Service Clientèle,Spécialiste Support,Baccalauréat,1683147,Satisfaisant,Oui,1980-05-16,2023-06-29
00-83227889,Mamadou,Diouf,Féminin,Dakar,Dakar,2020-05-27,Ventes,Spécialiste des Ventes,Master,2039286,Bon,Non,1983-08-19,2020-11-23
00-27105448,Mamadou,Diallo,Masculin,Ziguinchor,Oussouye,2018-01-31,Opérations,Coordinateur Logistique,Licence,2141592,À améliorer,Non,1985-06-01,2020-03-08
00-38195995,Cheikh,Ba,Féminin,Louga,Kébémer,2018-08-03,Opérations,Spécialiste des Stocks,Licence,1641472,Bon,Oui,1986-12-09,2021-01-31
00-64543049,Ibrahima,Ndiaye,Féminin,Dakar,Pikine,2024-04-23,Ventes,Représentant Commercial,Licence,2236731,Excellent,Oui,1998-07-15,2024-10-20
00-31810617,Fatou,Gueye,Féminin,Tambacounda,Bakel,2015-11-19,Opérations,Spécialiste des Stocks,Baccalauréat,1843445,Excellent,Non,1976-01-15,2016-05-17
00-65259205,Cheikh,Diallo,Féminin,Saint-Louis,Podor,2017-09-02,Opérations,Coordinateur Logistique,Licence,2012310,À améliorer,Oui,1974-01-14,2018-03-01
00-61343880,Mamadou,Fall,Masculin,Thiès,Thiès,2017-08-29,Ventes,Spécialiste des Ventes,Master,2287704,Excellent,Non,1979-12-03,2020-12-04
00-50962024,Cheikh,Sow,Masculin,Kaolack,Nioro du Rip,2015-12-10,Opérations,Coordinateur Logistique,Licence,1654672,Bon,Oui,2002-01-27,2022-11-18
00-54058573,Mariama,Ba,Masculin,Fatick,Foundiougne,2024-11-30,Service Clientèle,Spécialiste Support,Licence,1622805,Excellent,Non,1999-05-24,2025-05-29
00-96098221,Coumba,Gueye,Féminin,Kaffrine,Kaffrine,2022-05-21,Opérations,Analyste des Opérations,Licence,2421331,Excellent,Non,1994-08-05,2024-08-08
00-13704481,Awa,Diallo,Masculin,Fatick,Gossas,2017-08-13,Ventes,Représentant Commercial,Licence,1924790,Bon,Non,1986-06-23,2021-02-25
00-24549543,Ibrahima,Gueye,Masculin,Tambacounda,Tambacounda,2018-03-16,Opérations,Analyste des Opérations,Master,2307116,Bon,Non,1974-07-21,2023-02-19
00-91363974,Coumba,Ba,Masculin,Kaffrine,Malem Hodar,2018-10-01,Opérations,Spécialiste des Stocks,Licence,2043528,À améliorer,Oui,2000-04-11,2019-11-16
00-44188276,Mamadou,Gueye,Féminin,Dakar,Pikine,2015-01-28,Ventes,Consultant Commercial,Master,2677847,Satisfaisant,Non,1993-08-05,2020-06-27
00-36445607,Ousmane,Gueye,Féminin,Dakar,Guédiawaye,2016-01-18,Service Clientèle,Représentant Service Clientèle,Baccalauréat,1665919,Satisfaisant,Non,1981-05-21,2018-10-31
00-93638503,Ousmane,Ba,Féminin,Fatick,Fatick,2022-09-14,Service Clientèle,Technicien Support,Licence,1916916,Bon,Oui,1972-11-22,2023-03-13
00-51511484,Adama,Diouf,Féminin,Saint-Louis,Saint-Louis,2019-03-30,Finance,Analyste Financier,Doctorat,3006277,Bon,Non,1978-10-06,2019-09-26
00-27084279,Cheikh,Gueye,Féminin,Diourbel,Bambey,2022-10-28,Ventes,Consultant Commercial,Licence,2904074,Satisfaisant,Non,1967-06-06,2023-04-26
00-33357554,Ibrahima,Faye,Masculin,Diourbel,Mbacké,2018-04-23,Informatique,Administrateur Système,Master,3037487,Bon,Non,2002-10-19,2023-08-14
00-10054484,Mariama,Diallo,Féminin,Dakar,Guédiawaye,2017-01-31,Marketing,Créateur de Contenu,Baccalauréat,1735720,Satisfaisant,Oui,1964-09-18,2021-03-21
00-97873101,Ousmane,Fall,Masculin,Sédhiou,Bounkiling,2019-11-29,Opérations,Coordinateur Logistique,Licence,2031382,Bon,Oui,1962-09-28,2021-06-18
00-78608612,Abdoulaye,Ndiaye,Féminin,Kolda,Kolda,2022-04-01,Ressources Humaines,Coordinateur RH,Licence,1593292,Bon,Non,1998-10-18,2022-09-28
00-99100953,Ibrahima,Diouf,Masculin,Louga,Linguère,2016-12-02,Informatique,Spécialiste Support Informatique,Baccalauréat,1875067,Bon,Non,1989-08-18,2018-01-01
00-51663795,Cheikh,Sow,Masculin,Matam,Matam,2017-02-09,Service Clientèle,Représentant Service Clientèle,Licence,1693277,Satisfaisant,Non,2003-05-31,2022-04-29
00-73771720,Ibrahima,Ba,Masculin,Kaolack,Kaolack,2019-05-28,Ventes,Représentant Commercial,Licence,2247739,Satisfaisant,Oui,1999-04-02,2019-11-24
00-36096655,Adama,Fall,Masculin,Kolda,Vélingara,2019-04-18,Opérations,Spécialiste des Stocks,Licence,1666584,Bon,Non,1979-04-04,2019-10-15
00-10744212,Awa,Gueye,Masculin,Ziguinchor,Oussouye,2017-06-26,Informatique,Développeur Logiciel,Master,2982991,Satisfaisant,Non,1962-11-19,2020-09-30
00-72350830,Mamadou,Thiam,Féminin,Saint-Louis,Dagana,2017-09-04,Service Clientèle,Spécialiste Support,Licence,1958912,Bon,Oui,1977-03-31,2021-05-20
00-27896471,Abdoulaye,Thiam,Masculin,Ziguinchor,Oussouye,2024-11-19,Ventes,Représentant Commercial,Licence,1919447,Bon,Oui,1983-03-16,2025-05-18
00-69401199,Ibrahima,Thiam,Féminin,Diourbel,Mbacké,2019-05-22,Opérations,Spécialiste des Stocks,Baccalauréat,2114359,Satisfaisant,Non,1973-04-02,2020-06-07
00-31361812,Abdoulaye,Fall,Masculin,Dakar,Guédiawaye,2017-03-05,Service Clientèle,Représentant Service Clientèle,Licence,2066838,Bon,Non,1965-11-05,2017-09-01
00-95585469,Mariama,Thiam,Féminin,Kaolack,Guinguinéo,2019-05-24,Service Clientèle,Représentant Service Clientèle,Baccalauréat,1744865,Bon,Non,1976-03-26,2022-11-02
00-69038700,Awa,Diallo,Féminin,Matam,Ranérou,2017-05-18,Service Clientèle,Représentant Service Clientèle,Licence,2261699,Bon,Non,1975-11-06,2021-05-09
00-82498004,Awa,Ndiaye,Féminin,Saint-Louis,Dagana,2017-03-23,Service Clientèle,Spécialiste Support,Licence,1964755,Bon,Non,2001-11-05,2021-05-19
00-30509175,Cheikh,Ba,Masculin,Kaolack,Guinguinéo,2019-09-18,Ventes,Consultant Commercial,Master,2963485,Bon,Non,1999-05-01,2020-03-16
00-72535301,Adama,Diop,Masculin,Dakar,Pikine,2017-04-14,Marketing,Créateur de Contenu,Baccalauréat,1726656,Satisfaisant,Oui,1996-08-18,2018-10-08
00-88393811,Mamadou,Faye,Masculin,Diourbel,Mbacké,2018-09-30,Ventes,Spécialiste des Ventes,Master,1986127,Bon,Non,1981-12-25,2019-03-29
00-50079111,Adama,Gueye,Masculin,Thiès,Thiès,2020-12-29,Opérations,Spécialiste des Stocks,Licence,2078315,Bon,Oui,1995-09-07,2021-12-19
00-90967191,Cheikh,Fall,Féminin,Fatick,Gossas,2017-09-23,Opérations,Coordinateur Logistique,Licence,1868236,Satisfaisant,Oui,2000-05-01,2022-06-14
00-13895645,Adama,Diouf,Masculin,Dakar,Pikine,2022-09-09,Opérations,Coordinateur Logistique,Licence,1998354,Bon,Non,2004-06-05,2023-03-08
00-32151928,Abdoulaye,Ndiaye,Masculin,Thiès,Tivaouane,2024-01-28,Opérations,Coordinateur Logistique,Licence,2042999,Satisfaisant,Non,1973-02-09,2024-07-26
00-62884503,Ibrahima,Faye,Féminin,Kaolack,Guinguinéo,2022-08-25,Informatique,Développeur Logiciel,Master,2882834,À améliorer,Oui,2002-09-29,2023-02-21
00-67527432,Fatou,Fall,Féminin,Dakar,Guédiawaye,2017-09-04,Ventes,Spécialiste des Ventes,Licence,2648128,Bon,Non,1978-02-19,2018-03-03
00-53936531,Cheikh,Fall,Masculin,Kaolack,Guinguinéo,2018-03-08,Finance,Spécialiste des Comptes Fournisseurs,Licence,1642144,Bon,Oui,1990-07-02,2023-10-27
00-66581473,Mariama,Ba,Masculin,Kaolack,Nioro du Rip,2019-07-27,Ventes,Représentant Commercial,Licence,2069088,Satisfaisant,Oui,2004-03-29,2023-03-26
00-16990811,Ousmane,Sow,Masculin,Louga,Louga,2022-10-11,Finance,Analyste Financier,Licence,2191381,Bon,Non,1987-02-06,2023-04-09
00-14164775,Cheikh,Sow,Masculin,Sédhiou,Sédhiou,2023-04-06,Opérations,Analyste des Opérations,Licence,2372319,Excellent,Non,1991-05-11,2023-10-03
00-42016960,Fatou,Fall,Masculin,Diourbel,Bambey,2022-03-05,Ventes,Représentant Commercial,Licence,1926086,Satisfaisant,Non,1980-04-16,2022-09-01
00-72415804,Mariama,Diouf,Masculin,Louga,Kébémer,2017-06-29,Informatique,Administrateur Système,Master,2551816,À améliorer,Oui,1969-12-31,2017-12-26
00-25372341,Fatou,Diallo,Féminin,Thiès,Thiès,2016-05-27,Service Clientèle,Technicien Support,Baccalauréat,2358680,Satisfaisant,Oui,1993-10-18,2021-01-25
00-87282128,Adama,Gueye,Masculin,Kaffrine,Malem Hodar,2024-04-14,Opérations,Coordinateur Logistique,Licence,1898851,Excellent,Non,2004-07-03,2024-10-11
00-89470029,Cheikh,Ba,Féminin,Dakar,Pikine,2022-12-26,Ventes,Consultant Commercial,Master,2326397,À améliorer,Non,1982-01-05,2023-06-24
00-90585882,Awa,Faye,Féminin,Dakar,Pikine,2023-09-06,Informatique,Développeur Logiciel,Master,2892187,Bon,Non,1995-02-14,2024-03-04
00-67495923,Ousmane,Ba,Féminin,Diourbel,Bambey,2020-09-24,Informatique,Spécialiste Support Informatique,Licence,1991400,À améliorer,Oui,1982-02-08,2021-03-23
00-66379329,Abdoulaye,Ba,Masculin,Dakar,Guédiawaye,2019-08-05,Finance,Spécialiste des Comptes Fournisseurs,Licence,2009031,Bon,Non,1976-09-30,2020-02-01
00-71705170,Fatou,Gueye,Féminin,Dakar,Pikine,2017-03-27,Service Clientèle,Représentant Service Clientèle,Licence,2196484,Satisfaisant,Non,1989-10-10,2024-06-24
00-46249845,Ibrahima,Thiam,Féminin,Thiès,Thiès,2023-09-23,Ventes,Responsable des Ventes,Master,2403468,Satisfaisant,Non,1994-10-22,2024-12-16
00-89520597,Mariama,Diouf,Féminin,Kaolack,Kaolack,2023-05-06,Ressources Humaines,Assistant RH,Licence,1865901,Satisfaisant,Oui,1987-11-03,2023-11-02
00-70505620,Cheikh,Fall,Masculin,Dakar,Dakar,2020-11-23,Ventes,Spécialiste des Ventes,Licence,2426394,Satisfaisant,Non,1989-08-20,2021-10-25
00-55150390,Mamadou,Fall,Masculin,Thiès,Tivaouane,2023-10-26,Opérations,Analyste des Opérations,Master,1662664,À améliorer,Non,1985-01-13,2024-04-23
00-38470244,Ousmane,Diallo,Féminin,Saint-Louis,Dagana,2018-10-29,Ventes,Représentant Commercial,Licence,1678449,Excellent,Non,1966-05-31,2020-01-20
00-47080140,Coumba,Diop,Masculin,Louga,Louga,2020-01-22,Informatique,Spécialiste Support Informatique,Licence,1762474,Bon,Non,1984-08-13,2021-05-03
00-42394260,Adama,Fall,Féminin,Saint-Louis,Saint-Louis,2020-03-29,Finance,Analyste Financier,Doctorat,2988593,Satisfaisant,Non,1992-08-01,2020-09-25
00-73900135,Abdoulaye,Fall,Masculin,Ziguinchor,Oussouye,2023-11-16,Ressources Humaines,Coordinateur RH,Licence,2113997,Excellent,Oui,1987-11-20,2024-05-14
00-39742165,Adama,Sow,Féminin,Louga,Kébémer,2018-01-13,Marketing,Créateur de Contenu,Baccalauréat,1831955,À améliorer,Non,1987-01-15,2024-11-19
00-73519947,Coumba,Thiam,Masculin,Diourbel,Bambey,2018-11-09,Finance,Analyste Financier,Licence,2677514,Bon,Non,1994-11-02,2021-04-18
00-54398056,Ousmane,Fall,Masculin,Dakar,Dakar,2017-05-03,Service Clientèle,Spécialiste Support,Baccalauréat,1945617,Satisfaisant,Oui,1984-05-22,2023-04-06
00-26194158,Cheikh,Diouf,Féminin,Diourbel,Bambey,2016-06-04,Ventes,Spécialiste des Ventes,Licence,1822092,Satisfaisant,Non,1977-04-25,2021-11-15
00-34850391,Cheikh,Sow,Féminin,Saint-Louis,Saint-Louis,2022-04-14,Informatique,Développeur Logiciel,Licence,2554738,Bon,Oui,2002-10-25,2022-10-11
00-89133014,Coumba,Faye,Masculin,Louga,Louga,2017-01-26,Opérations,Coordinateur Logistique,Licence,2033477,Bon,Non,1986-05-29,2023-07-18
00-36054020,Mariama,Sow,Féminin,Dakar,Guédiawaye,2018-03-23,Service Clientèle,Représentant Service Clientèle,Baccalauréat,1855237,Excellent,Non,1971-10-26,2021-03-14
00-81690398,Fatou,Diallo,Masculin,Fatick,Gossas,2015-12-21,Ventes,Représentant Commercial,Licence,2014238,Excellent,Oui,1994-09-02,2019-01-13
00-49209916,Fatou,Fall,Masculin,Louga,Louga,2016-08-08,Ventes,Consultant Commercial,Licence,2376755,Bon,Non,1988-10-15,2022-06-19
00-48163378,Abdoulaye,Fall,Féminin,Thiès,Thiès,2019-12-07,Ventes,Spécialiste des Ventes,Master,2322921,Excellent,Non,1985-08-03,2021-12-15
00-43887075,Abdoulaye,Ba,Féminin,Dakar,Guédiawaye,2023-10-06,Opérations,Coordinateur Logistique,Licence,2049598,Satisfaisant,Oui,1984-01-25,2024-04-03
00-19943140,Ibrahima,Diop,Féminin,Kolda,Vélingara,2017-05-03,Ventes,Consultant Commercial,Doctorat,2120471,Bon,Non,1987-07-10,2021-12-30
00-21432787,Cheikh,Ba,Masculin,Dakar,Guédiawaye,2020-03-23,Informatique,Spécialiste Support Informatique,Licence,1863002,Satisfaisant,Non,1979-04-04,2021-07-08
00-90010790,Ibrahima,Sow,Masculin,Thiès,Thiès,2023-09-12,Ventes,Représentant Commercial,Licence,2127816,Satisfaisant,Oui,1963-02-14,2024-03-10
00-69421007,Mariama,Faye,Masculin,Ziguinchor,Oussouye,2024-07-12,Ventes,Représentant Commercial,Licence,1790351,Excellent,Oui,1971-05-02,2025-01-08
00-93352876,Mamadou,Faye,Féminin,Thiès,Thiès,2024-06-02,Informatique,Spécialiste Support Informatique,Baccalauréat,1712379,Bon,Non,1982-12-12,2024-11-29
00-37888820,Cheikh,Diallo,Masculin,Thiès,Thiès,2022-12-10,Service Clientèle,Représentant Service Clientèle,Licence,2211186,Excellent,Oui,1981-07-10,2023-06-08
00-33328859,Coumba,Ba,Masculin,Dakar,Dakar,2017-12-22,Service Clientèle,Technicien Support,Baccalauréat,1750322,Excellent,Oui,2001-02-01,2018-06-20
00-89699989,Abdoulaye,Diallo,Féminin,Thiès,Thiès,2015-09-07,Opérations,Coordinateur Logistique,Licence,1859602,Satisfaisant,Non,1987-07-18,2018-06-04
00-47945817,Abdoulaye,Ba,Féminin,Diourbel,Mbacké,2022-06-28,Ventes,Représentant Commercial,Licence,2246983,Satisfaisant,Non,2003-11-11,2022-12-25
00-93893865,Ibrahima,Sow,Masculin,Ziguinchor,Oussouye,2019-02-25,Service Clientèle,Technicien Support,Baccalauréat,1786252,Satisfaisant,Oui,1980-01-21,2019-09-12
00-96924061,Fatou,Diallo,Féminin,Fatick,Gossas,2023-04-13,Service Clientèle,Représentant Service Clientèle,Baccalauréat,1789989,Bon,Non,1984-01-12,2023-10-10
00-32269779,Mariama,Faye,Féminin,Sédhiou,Goudomp,2022-02-24,Service Clientèle,Spécialiste Support,Baccalauréat,1684080,Satisfaisant,Oui,1985-06-05,2022-08-23
00-68942178,Awa,Fall,Masculin,Kaolack,Nioro du Rip,2022-04-06,Ventes,Représentant Commercial,Licence,2268023,Bon,Oui,1980-08-24,2022-10-03
00-46540265,Coumba,Thiam,Féminin,Kaolack,Guinguinéo,2020-10-16,Marketing,Spécialiste SEO,Baccalauréat,2308054,Satisfaisant,Non,1981-04-01,2021-08-15
00-15350023,Adama,Diouf,Féminin,Dakar,Pikine,2021-08-07,Opérations,Analyste des Opérations,Master,1624620,Bon,Non,1998-05-20,2022-02-03
00-40725714,Ibrahima,Faye,Masculin,Ziguinchor,Oussouye,2024-07-28,Service Clientèle,Technicien Support,Baccalauréat,2510906,À améliorer,Non,1975-06-24,2025-01-24
00-46173157,Ibrahima,Diop,Féminin,Kaolack,Guinguinéo,2022-04-13,Service Clientèle,Technicien Support,Licence,1866595,Bon,Non,1985-01-02,2022-10-10
